p_val	avg_log2FC	pct.1	pct.2	p_val_adj
1.056756303013e-77	-0.3580899996121	0.028	0.101	3.86783374465788e-73
1.47170161883495e-77	-0.411118919477158	0.062	0.16	5.38657509509779e-73
2.28817562870742e-76	-0.430526249784892	0.053	0.143	8.37495161863201e-72
5.2117339506128e-76	-0.461699884631583	0.536	0.631	1.90754674326379e-71
1.08975022824566e-75	0.336018998808755	0.902	0.894	3.98859481040193e-71
2.55047917915266e-75	-0.349592656647103	0.029	0.101	9.33500884361666e-71
8.9585189046859e-74	0.448914009620456	0.538	0.362	3.27890750430409e-69
1.76799195814533e-73	-0.484929028806085	0.444	0.556	6.47102736600771e-69
4.18984843428495e-72	-0.381937950909245	0.051	0.139	1.53352642543263e-67
7.05116423379821e-72	-0.270999501520847	0.884	0.922	2.58079662121248e-67
2.08166080374836e-71	0.368546426085284	0.754	0.621	7.61908670779937e-67
9.54160848881071e-71	-0.314779727073183	0.784	0.841	3.49232412298961e-66
4.84227042486435e-70	0.447260098804812	0.439	0.265	1.7723193982046e-65
7.10662990714122e-70	0.454532791173288	0.718	0.6	2.60109761231276e-65
1.47406728782046e-68	0.433204015832208	0.3	0.15	5.39523368015167e-64
1.90277212000998e-68	0.447692340453822	0.857	0.827	6.96433623644854e-64
5.39246795238137e-68	0.405716879584925	0.782	0.653	1.97369719525111e-63
7.12307065394784e-68	-0.509452365714323	0.15	0.264	2.60711509005145e-63
1.4874136855211e-67	0.408791162401403	0.334	0.177	5.44408283037579e-63
3.66240326251641e-67	0.601471376783782	0.375	0.228	1.34047621811363e-62
4.47379465175926e-67	0.439687594690241	0.668	0.528	1.63745358049041e-62
5.50063138923337e-67	-0.488361784667566	0.127	0.236	2.01328609477331e-62
7.20052060962579e-67	-0.532030336222858	0.197	0.311	2.63546254832913e-62
8.50152075936208e-67	-0.348320963998827	0.034	0.105	3.11164161313411e-62
4.22047289912243e-65	0.401633930502242	0.697	0.555	1.5447352858078e-60
1.64607479086669e-64	0.368615143639935	0.726	0.562	6.02479834205115e-60
1.97847931925792e-64	0.412931203110697	0.325	0.173	7.24143215641591e-60
2.52614530174114e-64	0.320027805624405	0.165	0.055	9.24594441890276e-60
1.03121582477196e-63	0.315999580192322	0.911	0.814	3.77435304024784e-59
1.71831778721435e-63	-0.341479143699701	0.803	0.828	6.28921493298324e-59
4.05407429566862e-63	0.367825085355999	0.596	0.424	1.48383173295767e-58
1.73060576185685e-62	-0.499130054444671	0.131	0.234	6.33419014897226e-58
2.80692715346131e-62	-0.387191985909642	0.059	0.141	1.02736340743838e-57
1.25932315096717e-61	-0.337154572775216	0.059	0.143	4.60924866485494e-57
3.35966790532796e-60	0.434567897002325	0.284	0.15	1.22967205002909e-55
6.56094721335086e-60	-0.498379736580145	0.303	0.417	2.40137228955855e-55
4.85302247182316e-59	0.361969722060925	0.448	0.282	1.776254754912e-54
5.16782497948865e-59	-0.39009970982685	0.059	0.138	1.89147562074264e-54
3.32477344902582e-58	-0.424160060731345	0.091	0.182	1.21690033007794e-53
3.72758646353775e-58	-0.326188283694301	0.499	0.632	1.36433392151945e-53
2.5060298694028e-57	0.411673977641495	0.179	0.072	9.17231992500118e-53
4.67963657978481e-57	0.370727683175766	0.619	0.47	1.71279378456704e-52
1.15516781363979e-56	-0.373923095114808	0.111	0.213	4.22802971470301e-52
6.98674977454141e-55	-0.29868824308108	0.838	0.865	2.5572202849799e-50
7.46378954893184e-55	0.324697509805517	0.817	0.711	2.73182161280454e-50
7.63709884084637e-55	0.326554446351339	0.308	0.167	2.79525454673818e-50
8.06815008493269e-55	0.34646123563117	0.686	0.541	2.95302361258621e-50
3.64861826272535e-54	-0.264332136039352	0.834	0.873	1.3354307703401e-49
4.53164920379101e-54	0.35693750921712	0.779	0.652	1.65862892507955e-49
9.55056749271684e-54	0.333886340358918	0.772	0.659	3.49560320800929e-49
1.63048649414767e-53	0.308926051175672	0.959	0.924	5.9677436172299e-49
1.91742185015632e-53	0.333153119861459	0.637	0.488	7.01795571375716e-49
5.2564965591748e-53	0.308274892872006	0.969	0.975	1.92393030562357e-48
7.69783180745321e-53	-0.295444222605494	0.816	0.837	2.81748341984595e-48
3.34575094380549e-51	0.295631114282352	0.223	0.107	1.22457830294225e-46
4.23958245815504e-51	-0.401558368373185	0.408	0.512	1.55172957550932e-46
4.46344361286477e-51	0.356859356506788	0.633	0.484	1.63366499674463e-46
7.679673634517e-51	0.365960139625158	0.653	0.518	2.81083734696957e-46
8.74598426249003e-51	-0.324399775837193	0.056	0.128	3.20111769991398e-46
1.10070683295721e-50	-0.314911098765124	0.039	0.102	4.02869707930668e-46
3.59690929863003e-50	-0.483703992034719	0.201	0.295	1.31650477239158e-45
4.29728549850194e-50	-0.389279057648196	0.104	0.193	1.5728494653067e-45
1.41078663310912e-49	0.390194778888699	0.602	0.463	5.16362015584268e-45
2.19070596732804e-49	0.310265230260112	0.608	0.442	8.01820291101735e-45
2.34798991201325e-49	0.336532715559142	0.592	0.432	8.59387787695971e-45
3.28700998988558e-49	-0.490718853620275	0.28	0.376	1.20307852639802e-44
2.44202113785273e-48	0.360694761146448	0.543	0.394	8.93804156665478e-44
2.53530791390653e-48	-0.31347313254004	0.105	0.197	9.27948049568929e-44
5.75267349095905e-48	0.273191590902686	0.283	0.155	2.10553602442592e-43
6.7204802825369e-48	0.343953779514187	0.428	0.28	2.45976298821133e-43
9.85072651882255e-48	-0.356392146089916	0.137	0.234	3.60546441315424e-43
3.38525043396665e-47	-0.329005149101511	0.06	0.131	1.23903551133613e-42
5.47293057985283e-47	-0.430412951876805	0.238	0.34	2.00314732153193e-42
1.03662135481693e-46	0.295865809763293	0.35	0.209	3.79413782076545e-42
1.12477311794583e-46	0.316855204191	0.226	0.115	4.11678208899353e-42
1.67119373834474e-46	0.310261587268716	0.299	0.171	6.1167362017156e-42
2.92158294546315e-46	0.304878234055815	0.791	0.669	1.06932857386897e-41
3.17429963268817e-46	0.281337146869314	0.439	0.282	1.1618254085602e-41
4.71265239292335e-46	0.284976179084914	0.189	0.088	1.72487790233388e-41
6.45232592534154e-46	0.288280141981224	0.575	0.414	2.36161581193426e-41
8.37510871370963e-46	0.300155579314638	0.367	0.226	3.06537354030486e-41
4.12907617622945e-45	-0.256837160531783	0.045	0.108	1.51128317126174e-40
6.69604834520979e-45	0.365697636389904	0.401	0.266	2.45082065483023e-40
1.80218871570862e-44	-0.357314475751929	0.594	0.631	6.59619091836512e-40
3.29542882845741e-44	0.252708271678208	0.142	0.057	1.2061599055037e-39
4.05426864527804e-44	-0.294878262435694	0.048	0.111	1.48390286685821e-39
7.96683845077013e-44	-0.396123562337102	0.169	0.263	2.91594254136638e-39
9.99380033385744e-44	0.312429800148137	0.492	0.342	3.65783086019516e-39
1.21244197271101e-43	0.350406398848963	0.468	0.327	4.43765886431956e-39
1.34283671876411e-43	-0.4477554426109	0.308	0.395	4.91491667434851e-39
2.57186760877206e-43	0.295565925777007	0.471	0.318	9.41329263486662e-39
3.16169934336472e-43	-0.447510562628641	0.303	0.388	1.15721357666492e-38
